               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12777,            0.048999,            0.084278,          8.8013e-05,           0.0024038,          4.6769e-05,          9.3538e-06,             0.12519,            0.045417,            0.080303,              0.0001,              0.0001,              0.0991
                   1,              0.1273,             0.05208,            0.083397,                   0,                   0,                   0,                   0,             0.12512,            0.045501,            0.080385,           0.0002999,           0.0002999,              0.0973
                   2,             0.12715,            0.051628,            0.083778,                   0,                   0,                   0,                   0,             0.12503,            0.045471,            0.080447,          0.00049967,          0.00049967,              0.0955
                   3,             0.12554,             0.06596,            0.085478,                   0,                   0,                   0,                   0,             0.12443,            0.046023,            0.080449,          0.00069931,          0.00069931,            0.093699
                   4,             0.12302,            0.062536,             0.08673,                   0,                   0,                   0,                   0,             0.12283,            0.047853,            0.080162,          0.00089881,          0.00089881,            0.091899
                   5,             0.12459,            0.059505,            0.084179,          0.00011413,           0.0048077,          7.8378e-05,          7.8378e-06,             0.12311,            0.046644,            0.079911,           0.0010982,           0.0010982,            0.090098
                   6,             0.12289,            0.056055,            0.083353,          0.00014298,           0.0072115,          0.00012197,          2.0094e-05,             0.12237,            0.047653,            0.079737,           0.0012974,           0.0012974,            0.088297
                   7,             0.12049,            0.050582,            0.082647,          9.8367e-05,           0.0048077,          5.6407e-05,          5.6407e-06,             0.12122,            0.048715,            0.079666,           0.0014965,           0.0014965,            0.086497
                   8,             0.11934,             0.06489,            0.081314,             9.9e-05,           0.0048077,          5.6854e-05,           8.354e-06,             0.12111,            0.049898,            0.079482,           0.0016955,           0.0016955,            0.084696
                   9,             0.11784,            0.063963,            0.083043,          0.00011246,           0.0048077,          6.3637e-05,          9.3608e-06,             0.11989,            0.051302,            0.079415,           0.0018944,           0.0018944,            0.082894
                  10,             0.11581,            0.060009,            0.083389,          0.00031892,            0.011218,          0.00034737,          7.7055e-05,             0.11801,            0.053156,            0.078794,           0.0020931,           0.0020931,            0.081093
