               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10708,             0.14322,            0.065875,            0.022126,             0.26713,            0.026525,            0.007273,            0.088976,             0.18639,            0.057157,           0.0032911,           0.0032911,             0.07038
                   1,            0.084761,             0.13858,            0.056082,             0.32305,             0.34157,            0.062524,             0.01795,            0.080554,             0.16768,            0.048691,           0.0066238,           0.0066238,            0.040379
                   2,            0.079402,             0.14431,            0.050836,              0.6163,             0.17909,             0.10886,            0.039187,            0.080344,             0.26381,            0.042289,           0.0099558,           0.0099558,            0.010378
                   3,            0.070804,             0.13556,            0.046824,             0.43457,             0.43917,             0.33043,             0.11987,            0.062702,             0.14896,            0.037611,            0.009997,            0.009997,            0.009997
                   4,            0.058884,              0.1269,             0.04238,             0.59364,             0.41721,             0.41699,             0.18122,            0.048212,              0.1329,            0.035521,            0.009997,            0.009997,            0.009997
                   5,            0.055138,             0.11545,            0.039399,             0.67898,             0.46273,              0.5036,             0.30668,            0.042416,             0.12963,            0.032256,            0.009996,            0.009996,            0.009996
                   6,              0.0508,             0.11759,            0.036434,             0.65027,             0.49459,              0.5688,             0.26692,            0.047913,             0.12778,            0.029173,           0.0099951,           0.0099951,           0.0099951
                   7,            0.049322,              0.1098,            0.033887,             0.69206,             0.59496,             0.66232,             0.40406,            0.039971,             0.12094,            0.025099,           0.0099941,           0.0099941,           0.0099941
                   8,            0.048632,             0.10593,             0.03099,              0.7279,             0.62418,             0.65589,             0.39158,            0.039633,             0.11548,            0.023293,           0.0099931,           0.0099931,           0.0099931
                   9,            0.048818,             0.10304,            0.028774,             0.79983,             0.56945,             0.68559,             0.43391,             0.03713,             0.12717,            0.021594,           0.0099921,           0.0099921,           0.0099921
                  10,            0.046261,             0.10176,             0.02678,             0.76369,             0.62725,              0.7247,             0.50383,            0.034834,             0.11944,            0.019487,           0.0099911,           0.0099911,           0.0099911
                  11,            0.045787,              0.1001,            0.025256,             0.79039,              0.6768,             0.79025,              0.4882,            0.036631,             0.11198,            0.018115,           0.0099901,           0.0099901,           0.0099901
                  12,             0.04552,            0.099645,            0.023874,             0.79339,             0.67823,             0.79684,              0.5508,             0.03441,             0.10691,            0.018036,           0.0099891,           0.0099891,           0.0099891
                  13,            0.043987,            0.097291,            0.022939,              0.8497,              0.7253,             0.84961,             0.57057,            0.034104,             0.10202,            0.015965,           0.0099881,           0.0099881,           0.0099881
                  14,            0.043587,             0.09668,            0.021834,             0.83224,             0.65876,              0.8048,             0.53473,            0.034419,             0.10352,            0.015808,           0.0099871,           0.0099871,           0.0099871
                  15,            0.043533,            0.094694,            0.021074,             0.85203,             0.72908,             0.84908,             0.60854,            0.032315,             0.10003,            0.015105,           0.0099861,           0.0099861,           0.0099861
